1	ఒకటవ
2	రెండవ
3	మూడవ
4	నాలుగవ
5	ఐదవ
6	ఆరవ
7	ఏడవ
8	ఎనిమిదవ
9	తొమ్మిదవ
౧	ఒకటవ
౨	రెండవ
౩	మూడవ
౪	నాలుగవ
౫	ఐదవ
౬	ఆరవ
౭	ఏడవ
౮	ఎనిమిదవ
౯	తొమ్మిదవ
